locations,Pashupatinath Temple,Boudhanath (Stupa),Swayambhunath Stupa,Kopan Monastery,Garden of Dreams,Kathmandu Durbar Square,Buddha Nilkanth,Narayanhiti Palace,Indra Chowk,Taudaha Lake,Kathesimbhu Stupa,Dakshinkali Temple,National Museum of Nepal,White Monastery,Royal Botanical Gardens,Basantapur Tower,Khawalung Monastery,Patan Durbar Square,Nagarkot,Chandragiri,Shivapuri Nagarjun National Park,Bhaktapur Durbar Square,Phulchoki,Kulekhani,Namo Buddha,Jump KTM,Art in Paradise Nepal,Whoopee Land,Kathmandu Fun Park,Outdoor Adventure Centre Nepal
Pashupatinath Temple,0.0,1.7771671121981232,5.77490209158309,3.8097855805022074,3.3692834372255738,4.173810687825709,7.60110041499745,2.8771894968950518,3.8873066544937345,9.372168677866373,3.8420121281274406,14.385443297886432,5.904880961521797,2.4702357750534767,13.039274618068484,4.171036818734817,3.2094924859402303,4.735177841728751,17.004489115305844,12.397639959387652,12.317129898451435,10.161893612488994,15.161815307674768,20.79374499243349,27.917592118934603,2.751198025865278,3.65794180589482,8.149915337066314,3.066436837612825,3.5441751309510776
Boudhanath (Stupa),1.7771671121981232,0.0,7.0984596182934645,2.309083597383408,4.723709216879081,5.741527710731879,6.2788813835353485,4.1536510462777745,5.438794151522148,11.146646812829673,5.313029432714472,16.130439439239385,7.3991763915519195,0.7377102576196999,13.94848149033065,5.747967475379991,1.5054782594467329,6.450110410585372,15.907140703325341,13.915314622434643,10.763715655150177,9.028145519677043,16.250761179723536,22.54761901508326,27.545111236158654,2.1087443940490687,5.306246010099148,9.926810780706104,4.759334102164587,4.827580924263185
Swayambhunath Stupa,5.77490209158309,7.0984596182934645,0.0,7.8510646929618035,2.4100107492677476,2.001787189698209,9.963104726283476,2.9514564728678847,2.1471448017877752,7.273303547449135,2.004612911054614,12.440512420759074,1.053330731821447,7.81890386212104,15.963386924984832,2.0424681504805813,7.935340390458943,5.734519298099288,22.776703597369863,6.937405464894766,14.94094528411434,15.936159713526573,17.333409158793835,18.312905065071757,33.100954820111,6.064441809539573,2.688409545444081,5.898354258423725,3.2733691547102954,2.2729111570412392
Kopan Monastery,3.8097855805022074,2.309083597383408,7.8510646929618035,0.0,5.75285785521544,6.99496026237603,3.9801436753491712,5.170474443036384,6.687469135581875,13.003053720405498,6.443101300453247,18.120960918051598,8.41783413695548,2.1261301308982827,16.20463792558615,7.017403841614913,1.001642549453257,8.531402968895025,16.354657839842616,14.786684484250651,8.513373113007992,9.600843944737598,18.545125109188916,24.49887511819427,28.85088936822691,1.7886830690882436,6.740997690601015,11.705813730676939,6.324054446899897,5.746513903041593
Garden of Dreams,3.3692834372255738,4.723709216879081,2.4100107492677476,5.75285785521544,0.0,1.3151352433910026,8.496618280821055,0.5901666911562315,1.038582526114569,7.809362979957744,0.7059444657011082,13.082893255575211,2.7058935500749204,5.4535922876923735,14.632253674465632,1.351821832704631,5.68417718502671,4.624248488845523,20.37376485021307,9.203915776494362,13.51613750679632,13.527814342609654,16.31642542388452,19.276721450419114,30.962902953031218,3.987536716108295,1.4093092281609663,6.418098486241932,1.5374580570243512,0.2803305013845116
Kathmandu Durbar Square,4.173810687825709,5.741527710731879,2.001787189698209,6.99496026237603,1.3151352433910026,0.0,9.810609553310679,1.8497058352699636,0.3093135401493513,6.529764875161635,0.6253579384022948,11.806498301228673,1.7618948661924718,6.479234290647317,14.095155837210315,0.05449190034580423,6.842534178513776,3.882876126154276,21.046766203471858,8.223830445266923,14.83079172977223,14.259760646791797,15.599830102183736,17.971942441184193,31.11313696002661,5.255201727013293,0.689581709139177,5.131112181736353,1.3082729290469743,1.451613495030315
Buddha Nilkanth,7.60110041499745,6.2788813835353485,9.963104726283476,3.9801436753491712,8.496618280821055,9.810609553310679,0.0,8.005906139141194,9.53268226938289,16.24868400239058,9.190630480154766,21.490403942363933,10.80585260627984,6.077203121423987,20.174618695197083,9.848315742737265,4.925321666252364,12.169149692605878,18.222811311046662,16.549837323657524,5.022629392359451,11.994403683520597,22.52497926857764,27.756128374161385,31.70708368934437,4.956004170573393,9.778176207179495,14.878807597688233,9.532825965383125,8.37532658795809
Narayanhiti Palace,2.8771894968950518,4.1536510462777745,2.9514564728678847,5.170474443036384,0.5901666911562315,1.8497058352699636,8.005906139141194,0.0,1.5517235432714975,8.255791655188405,1.273232502778927,13.518540321617248,3.295274741185894,4.879929356578324,14.607267689048117,1.879349090679178,5.094154435561036,4.775062063281562,19.8687978454384,9.787320728469975,13.017610350680519,13.011740620616436,16.377562038538528,19.751214701164557,30.624718347776266,3.413168375662722,1.7855629009394156,6.876560527798829,1.7036943145665724,0.6798822041291472
Indra Chowk,3.8873066544937345,5.438794151522148,2.1471448017877752,6.687469135581875,1.038582526114569,0.3093135401493513,9.53268226938289,1.5517235432714975,0.0,6.776075210420198,0.4024618385519081,12.051413710308788,2.0254154409563236,6.1764836112020385,14.089238442168067,0.33027418174838186,6.533442778311128,3.912438236627438,20.791846167154446,8.512605656551598,14.550791835713328,13.994256892170679,15.643757826271676,18.238142692596618,30.954149826819588,4.950889593500015,0.5963914824807007,5.3822454209803245,1.1266389658867153,1.206110091722531
Taudaha Lake,9.372168677866373,11.146646812829673,7.273303547449135,13.003053720405498,7.809362979957744,6.529764875161635,16.24868400239058,8.255791655188405,6.776075210420198,0.0,7.152844235304671,5.2767436777638626,6.2201058870168815,11.810531358989719,11.502708445889226,6.484623599261098,12.560079354403276,4.927468738264613,23.85802045414928,7.457892130907068,21.24146382542418,17.71971216769186,11.846714510054582,11.522088970077442,31.018411647394824,11.43849526156626,6.473669504861396,1.4049968085414015,6.740107589715676,7.977788985642232
