locations,Co_ordinates,latitude,longitude
Pashupatinath Temple,"27.71057,85.34874",27.71057,85.34874
Boudhanath (Stupa),"27.72143,85.362",27.72143,85.362
Swayambhunath Stupa,"27.71494,85.29039",27.71494,85.29039
Kopan Monastery,"27.7422,85.36388",27.7422,85.36388
Garden of Dreams,"27.71412,85.31481",27.71412,85.31481
Kathmandu Durbar Square,"27.70452,85.30697",27.70452,85.30697
Buddha Nilkanth,"27.77809,85.36232",27.77809,85.36232
Narayanhiti Palace,"27.71628,85.32028",27.71628,85.32028
Indra Chowk,"27.70594,85.30967",27.70594,85.30967
Taudaha Lake,"27.64965,85.28284",27.64965,85.28284
Kathesimbhu Stupa,"27.70957,85.3098",27.70957,85.3098
Dakshinkali Temple,"27.60526,85.26349",27.60526,85.26349
National Museum of Nepal,"27.7055,85.28914",27.7055,85.28914
White Monastery,"27.72358,85.36908",27.72358,85.36908
Royal Botanical Gardens,"27.59699,85.38327",27.59699,85.38327
Basantapur Tower,"27.70404,85.30709",27.70404,85.30709
Khawalung Monastery,"27.73393,85.36798",27.73393,85.36798
Patan Durbar Square,"27.6734,85.32506",27.6734,85.32506
Nagarkot,"27.69217,85.5199",27.69217,85.5199
Chandragiri,"27.69263,85.22467",27.69263,85.22467
Shivapuri Nagarjun National Park,"27.81475,85.39229",27.81475,85.39229
Bhaktapur Durbar Square,"27.70452,85.45155",27.70452,85.45155
Phulchoki,"27.5749,85.36864",27.5749,85.36864
Kulekhani,"27.56204,85.21998",27.56204,85.21998
Namo Buddha,"27.57137,85.58453",27.57137,85.58453
Jump KTM,"27.7353701,85.34744291",27.7353701,85.34744291
Art in Paradise Nepal,"27.7014958,85.31308042",27.7014958,85.31308042
Whoopee Land,"27.66180365,85.28689587",27.66180365,85.28689587
Kathmandu Fun Park,"27.7009176,85.3196018",27.7009176,85.3196018
Outdoor Adventure Centre Nepal,"27.7163094,85.313386",27.7163094,85.313386
