From,Pashupatinath Temple,Boudhanath (Stupa),Swayambhunath Stupa,Kopan Monastery,Garden of Dreams,Kathmandu Durbar Square,Buddha Nilkanth,Narayanhiti Palace,Indra Chowk,Taudaha Lake,Kathesimbhu Stupa,Dakshinkali Temple,National Museum of Nepal,White Monastery,Royal Botanical Gardens,Basantapur Tower,Khawalung Monastery,Patan Durbar Square,Nagarkot,Chandragiri,Shivapuri Nagarjun National Park,Bhaktapur Durbar Square,Phulchoki,Kulekhani,Namo Buddha,Jump KTM,Art in Paradise Nepal,Whoopee Land,Kathmandu Fun Park,Outdoor Adventure Centre Nepal
Pashupatinath Temple,1 m,3.8 km,7.9 km,5.3 km,3.6 km,6.3 km,9.0 km,4.2 km,5.8 km,12.1 km,4.6 km,22.4 km,8.5 km,3.8 km,18.1 km,6.0 km,4.4 km,6.9 km,25.8 km,15.1 km,33.3 km,18.2 km,24.8 km,36.4 km,39.4 km,3.4 km,5.0 km,11.6 km,4.0 km,4.4 km
Boudhanath (Stupa),3.7 km,1 m,12.9 km,3.1 km,6.3 km,8.0 km,8.1 km,6.9 km,8.7 km,15.1 km,7.3 km,25.4 km,11.4 km,1.2 km,21.7 km,8.9 km,1.8 km,10.4 km,25.5 km,18.1 km,32.6 km,17.9 km,28.4 km,39.4 km,40.0 km,3.3 km,7.9 km,14.6 km,7.0 km,7.1 km
Swayambhunath Stupa,8.1 km,10.2 km,1 m,12.4 km,4.4 km,3.7 km,12.7 km,4.7 km,6.6 km,11.5 km,3.2 km,21.7 km,1.6 km,10.2 km,20.9 km,4.3 km,10.6 km,8.0 km,31.3 km,10.2 km,31.5 km,23.7 km,27.1 km,35.7 km,44.9 km,9.2 km,5.8 km,9.4 km,6.4 km,3.9 km
Kopan Monastery,5.3 km,3.1 km,12.4 km,1 m,8.8 km,10.5 km,6.1 km,7.6 km,10.3 km,16.6 km,9.8 km,26.9 km,12.5 km,3.5 km,23.2 km,10.5 km,1.7 km,11.0 km,27.7 km,20.7 km,30.7 km,20.1 km,30.0 km,40.9 km,42.2 km,3.3 km,9.5 km,16.1 km,8.5 km,9.1 km
Garden of Dreams,3.9 km,6.9 km,4.4 km,7.9 km,1 m,1.7 km,9.1 km,0.8 km,3.3 km,11.3 km,1.0 km,21.6 km,5.0 km,7.0 km,18.5 km,3.5 km,7.5 km,6.0 km,28.2 km,12.7 km,32.0 km,20.6 km,24.8 km,35.6 km,41.8 km,5.1 km,2.5 km,9.2 km,2.1 km,0.5 km
Kathmandu Durbar Square,5.7 km,8.7 km,3.7 km,9.8 km,1.9 km,1 m,10.9 km,2.7 km,3.9 km,8.5 km,1.1 km,18.7 km,2.0 km,8.8 km,17.7 km,1.0 km,8.8 km,5.4 km,28.6 km,9.5 km,31.8 km,21.0 km,24.0 km,32.8 km,42.2 km,6.9 km,3.1 km,6.4 km,4.6 km,2.2 km
Buddha Nilkanth,8.9 km,7.9 km,12.6 km,6.0 km,9.0 km,10.7 km,1 m,8.9 km,12.1 km,20.1 km,10.0 km,30.4 km,12.7 km,8.3 km,26.8 km,12.3 km,6.5 km,14.9 km,33.9 km,20.9 km,29.4 km,26.3 km,33.6 km,44.4 km,48.2 km,5.5 km,11.3 km,18.0 km,10.9 km,9.2 km
Narayanhiti Palace,3.7 km,6.7 km,5.0 km,7.6 km,0.9 km,2.6 km,9.0 km,1 m,3.6 km,11.6 km,1.9 km,21.8 km,5.6 km,6.7 km,18.8 km,3.8 km,6.7 km,6.3 km,28.0 km,13.0 km,32.0 km,20.4 km,25.1 km,35.8 km,41.7 km,4.7 km,2.8 km,9.5 km,2.4 km,1.5 km
Indra Chowk,5.0 km,8.0 km,3.3 km,9.8 km,1.9 km,0.6 km,10.9 km,2.7 km,1 m,9.9 km,0.6 km,20.2 km,3.3 km,8.1 km,18.7 km,0.8 km,8.6 km,6.2 km,28.4 km,10.8 km,33.9 km,20.8 km,25.0 km,34.2 km,42.0 km,6.9 km,0.8 km,7.9 km,2.3 km,1.4 km
Taudaha Lake,14.4 km,17.4 km,11.5 km,18.9 km,10.7 km,8.5 km,19.7 km,11.5 km,10.2 km,1 m,9.9 km,10.4 km,10.0 km,17.5 km,16.7 km,8.5 km,18.0 km,6.7 km,31.3 km,14.1 km,41.1 km,23.6 km,21.4 km,24.4 km,44.9 km,15.7 km,9.4 km,2.8 km,9.3 km,11.0 km
